SUBDIVISIONS,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,FLOOD
Beed,2022,1.135224,2,3,4.0374602,5.23153636,160.0165435,223.155264,112.4610516,197.108134,0,11.00400927,12.80007876,731.9493016,NO
Begusarai,2022,14.0324406,46.0845415,3,12.27003,72.2576516,216.0466504,90.203542,199.628448,163.701433,157.2147208,11.00000613,12.42693546,997.8663995,NO
Belagavi,2022,1.13932914,2,14.29714482,66.1581224,122.8358401,118.2809698,214.253702,177.515631,176.2038684,132.6179219,11.56888029,14.98692721,1051.858337,NO
Bemetara,2022,25.541536,8.6180919,3.4478031,8.7038645,13.29900844,133.9311107,355.721852,459.8044569,115.0526047,50.2692701,11.00025405,12.664673,1198.054525,NO
Bengaluru Rural,2022,2.304810194,2,10.380811,59.27457178,244.4235458,229.1323599,115.6752911,361.6840624,177.9459593,99.28445,31.24303537,75.69317733,1409.042074,NO
Bengaluru Urban,2022,4.67874,2,13.65952743,61.30855904,281.264342,213.0759337,111.1018902,366.6596572,198.4447054,79.4276115,58.20082816,72.54871749,1462.370512,NO
Betul,2022,21.220088,2.5552027,6.19690314,4.252683,7.1073735,155.6202955,680.8401,511.2689675,238.673451,81.68410933,11,17.4879248,1737.907098,NO
Bhadohi,2022,16.2478217,4.9389736,3,4,12.694076,103.2581763,140.2392091,184.4028119,191.1198632,84.45230336,11,12.08765843,767.4408936,NO
Bhadradri Kothagudem,2022,24.34331926,2,15.086713,11.939271,51.35818118,226.2828642,560.391381,357.3219965,253.1753052,92.626069,11.65030562,14.68659475,1620.862001,NO
Bhadrak,2022,27.4909619,34.9582294,3.287802,6.1669058,88.53190327,97.9935994,300.895061,355.322713,161.2344151,249.6639,11.06738395,12.412685,1349.02556,NO
Bhagalpur,2022,4.4253369,37.2096432,3.1064499,21.1887585,122.4061988,97.19347977,70.49529294,141.5410715,154.6625211,124.675434,11.01855442,12.00378377,799.9265247,NO
Bhandara,2022,12.4822636,2.0753128,3,4.436202,6.34542319,142.9907134,632.53816,613.24968,306.3927057,83.7135024,11.08028853,12.37990956,1830.684161,NO
Bharatpur,2022,31.7914668,7.527907,3.0001576,4,11.95570871,78.86016896,188.7026592,162.2793535,196.9132307,163.4369984,13.55853542,12,874.0261863,NO
Bharuch,2022,1.112149,2,3.0940811,4,5,65.49234347,629.04682,181.807118,172.731634,53.6856549,11.00025994,12.28431468,1141.254375,NO
Bhavnagar,2022,1.07480759,2,3,4,5.000313655,47.494997,226.733019,160.1659426,142.9944997,34.1310525,11,12.38866424,649.9832963,NO
Bhilwara,2022,10.227304,2,9.5688907,4,12.009072,48.4805245,329.139062,249.0377573,65.90795851,45.51888432,11.00525438,12,798.8947077,NO
Bhind,2022,23.0131429,4.55902,3.00180278,4,10.8470768,29.81202207,188.6903212,218.1846584,227.1709822,143.4425251,11.463385,12,876.1849364,NO
Bhiwani,2022,42.4320615,7.0039093,3.0160902,4.126709,30.45223601,31.0961049,163.9715265,101.040262,63.45877337,22.8007652,16.50991042,12.00145206,497.9098005,NO
Bhojpur,2022,20.9705825,15.6279708,3,4.0761917,44.3681513,113.8852623,125.704789,221.4802595,167.3205035,62.33766041,11,12.43335803,802.204729,NO
Bhopal,2022,35.46065903,2,3.2432493,4,10.0354661,122.6898248,676.628975,560.3480849,205.9081094,117.4158643,11,15.23236216,1763.962595,NO
Bid,2022,0,0,0,0,0,0,0,0,0,70.7541998,0,0,70.7541998,NO
Bidar,2022,5.361982,2,5.070083419,13.280724,57.17394171,154.7707853,398.3331958,215.2771274,206.1059791,74.5384499,11.05415761,14.36106576,1157.327492,NO
Bijapur,2022,44.1225181,2.1152374,3.22387776,18.4200789,35.19168526,162.0066141,856.290802,483.6998341,311.2515526,57.8672866,11.6524646,15.5393477,2001.381299,NO
Bijnor,2022,124.3203151,51.20829937,3,4.00724595,47.40701769,97.47227861,147.8207483,145.6692483,233.6453634,201.7993952,11.995171,12.0006526,1080.345735,NO
Bikaner,2022,29.6798205,5.64569299,3.7534859,4.3895124,9.582285903,81.094649,224.2204862,85.36993204,14.95246834,10.326512,13.44277344,12.163419,494.6210377,NO
Bilapur,2022,0,0,0,0,0,0,0,466.8001613,149.4916113,58.3205023,11,12.44557193,698.0578469,NO
Bilaspur,2022,219.3713694,84.194001,12.43042404,14.94100781,79.98766739,323.5303514,784.5114243,283.4629364,140.6263499,59.50059,11.02168879,12.00498543,2025.582796,NO
Birbhum,2022,15.93587231,66.3960324,3,14.912137,154.6270449,82.32252917,83.94273811,223.593301,262.4635473,117.5769312,11,13.22371733,1048.993851,NO
Bishnupur,2022,22.19840901,42.0344313,16.4008117,146.1420195,359.3289757,344.2488905,161.9440521,265.499478,80.0372441,55.3453834,12.0478223,15.889157,1521.116675,NO
Biswanath,2022,35.34020131,65.9605141,46.5060715,388.428868,318.701823,534.490625,297.0235063,259.3587676,172.7937751,264.726648,11.15444792,13.7378365,2408.223084,NO
Bokaro,2022,23.7323086,57.6341287,3,5.705693,79.676641,127.212588,129.7939683,248.4883318,275.5659261,111.551225,11.00154263,12.02412164,1085.386475,NO
Bolangir (Balangir),2022,0,0,0,0,0,0,0,0,0,84.72636077,0,0,84.72636077,NO
Bongaigaon,2022,18.1117321,67.902369,26.1895192,518.5383561,514.8331,1353.283441,174.3746225,334.6448293,150.6689617,182.9522974,11.4843929,12.35129387,3365.334915,YES
Botad,2022,1.975184,2,3,4,5,64.84297469,261.4693074,198.7964191,178.0756281,28.11705147,11,12.17665095,770.4532157,NO
